score,reason,province,name_a,city_a,sources_a,name_b,city_b,sources_b,evidence_b,decision,reviewer,notes
0.507,same-name-different-city,Ontario,University Settlement Basketball,Toronto,"census-2026-07,ontario-csv",Uxbridge Spartan Basketball Association (USBA),Uxbridge,municipal-directory,https://uxbridgespartanbasketball.sportngin.com/board,distinct,auto-rule,both are census municipalities (Toronto / Uxbridge); kept separate - override if they are one club
0.5,same-name-different-city,British Columbia,TC North Basketball Academy,Coquitlam,census-2026-07,Thunder Nation Basketball,Victoria,census-2026-07,https://playsport.com/thundernationbasketball_ag_cf54630b,distinct,auto-rule,both are census municipalities (Coquitlam / Victoria); kept separate - override if they are one club
0.5,same-name-different-city,Ontario,North York Lions,North York,census-2026-07,North Toronto Basketball Association (NTBA),Toronto,census-2026-07,ontario census + enrichment 2026-07-18,,,
0.5,same-name-different-city,Quebec,Association de Basketball de Châteauguay (CBA Ravens),Châteauguay,census-2026-07,Club de basketball Drummondville,Drummondville,census-2026-07,http://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/centre-du-quebec.html,distinct,auto-rule,both are census municipalities (Châteauguay / Drummondville); kept separate - override if they are one club
0.5,same-name-different-city,Quebec,RSEQO (Réseau du sport étudiant - Outaouais),Gatineau,census-2026-07,RSEQ Montérégie,Richelieu-Yamaska,census-2026-07,Basketball Québec regional registry PDFs (mined 2026-07-18),,,
0.5,same-name-different-city,Ontario,BGC London,London,community-sweep,BGC Ottawa (Boys and Girls Club of Ottawa),Ottawa,community-sweep,https://cneo-nceo.ca/record/68968305/,distinct,auto-rule,both are census municipalities (London / Ottawa); kept separate - override if they are one club
0.5,same-name-different-city,Ontario,IEM Alpha Elite,Newmarket/York Region (IEM),league-harvest,IEM King City,King City,league-harvest,https://www.iembasketball.com/clubLeagueInfo.php,,,
0.49,same-name-different-city,British Columbia,Jump Play Learn Canada,Vancouver,census-2026-07,Jumpshot Basketball Academy (Titans Basketball Club; also operates as Bears Basketball Academy),Victoria,census-2026-07,https://www.jumpshotbasketball.org/,distinct,auto-rule,both are census municipalities (Vancouver / Victoria); kept separate - override if they are one club
0.49,same-name-different-city,Quebec,Les Ballons Intensifs (LBI),"Montréal (Pointe-aux-Trembles, Montréal-Nord, LaSalle)",census-2026-07,Club basketball Les Astéries,Victoriaville,census-2026-07,Basketball Québec regional registry PDFs (mined 2026-07-18),distinct,auto-rule,"both are census municipalities (Montréal (Pointe-aux-Trembles, Montréal-Nord, LaSalle) / Victoriaville); kept separate - override if they are one club"
0.486,same-name-different-city,Ontario,Centre Wellington Celtics,Fergus/Elora,census-2026-07,Central Tech,Toronto,census-2026-07,ontario census + enrichment 2026-07-18,,,
0.476,same-name-different-city,Ontario,Kingston Impact,Kingston,census-2026-07,King's Christian Collegiate,Oakville,census-2026-07,ontario census + enrichment 2026-07-18,distinct,auto-rule,both are census municipalities (Kingston / Oakville); kept separate - override if they are one club
0.474,same-name-different-city,Alberta,AB Elite Basketball Club,Camrose,census-2026-07,AL Elite Hoops,Edmonton,census-2026-07,https://alelitehoops.ca/,distinct,auto-rule,both are census municipalities (Camrose / Edmonton); kept separate - override if they are one club
0.474,same-name-different-city,British Columbia,Fastbreak Basketball BC,Burnaby,census-2026-07,Fundamentals BC (Fundamentals Basketball Club),Surrey,census-2026-07,https://www.fundamentalsbc.com/,distinct,auto-rule,both are census municipalities (Burnaby / Surrey); kept separate - override if they are one club
0.467,same-name-different-city,British Columbia,Northside Attack Athletics,Burnaby,census-2026-07,North Delta Basketball Association (NDBA),Delta (North Delta),census-2026-07,https://deltabasketball.com/,distinct,auto-rule,both are census municipalities (Burnaby / Delta (North Delta)); kept separate - override if they are one club
0.462,same-name-different-city,Ontario,Waterloo Wildhawks,Waterloo,census-2026-07,Whitby Wildcat Sports,Whitby/Oshawa/Ajax,census-2026-07,ontario census + enrichment 2026-07-18,,,
0.462,same-name-different-city,Ontario,City Above Elite,Vaughan/North York ON,"census-2026-07,contact-enrichment,league-harvest,ontario-circuit-list,ontario-csv",City of Elliot Lake Youth Basketball (Collins Hall),Elliot Lake,gap-fill,https://www.elliotlaketoday.com/local-news/registration-opens-for-youth-basketball-at-collins-hall-11197141,,,
0.459,same-name-different-city,British Columbia,Next Gen Training Basketball Academy (Genesis Athletics Club),Kelowna,census-2026-07,Next Generation Athletics,Surrey,census-2026-07,https://www.nextgenerationathletics.ca/,distinct,auto-rule,both are census municipalities (Kelowna / Surrey); kept separate - override if they are one club
0.457,same-name-different-city,Nova Scotia,East Hants Havoc,East Hants,census-2026-07,East Preston Pacers,East Preston,census-2026-07,https://basketballnovascotia.ca/content/member-clubs,,,
0.456,same-name-different-city,New Brunswick,Surge Basketball (Saint John Surge),Rothesay,census-2026-07,Sackville Basketball Boosters Association (SBBA),Sackville,census-2026-07,https://www.basketball.nb.ca/content/find-a-club-association,distinct,auto-rule,both are census municipalities (Rothesay / Sackville); kept separate - override if they are one club
0.455,same-name-different-city,Quebec,Basketball Boucherville,Boucherville,census-2026-07,Bluehounds Basketball,Montréal (Westmount),census-2026-07,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,distinct,auto-rule,both are census municipalities (Boucherville / Montréal (Westmount)); kept separate - override if they are one club
0.452,same-name-different-city,British Columbia,Golden Bears,Fraser River region — Surrey/Delta/Richmond/New West,census-2026-07,Gryphons Basketball,Victoria,census-2026-07,https://www.vicbball.com/contact-page.html,,,
0.452,same-name-different-city,Ontario,St. Francis,St. Catharines,census-2026-07,St. Lawrence Lightning,Brockville,ontario-circuit-list,,distinct,auto-rule,both are census municipalities (St. Catharines / Brockville); kept separate - override if they are one club
0.45,same-name-different-city,Quebec,Basketball Mont-Tremblant,Mont-Tremblant,census-2026-07,Montreal United,Montréal,census-2026-07,http://www.montrealunited.ca,distinct,auto-rule,both are census municipalities (Mont-Tremblant / Montréal); kept separate - override if they are one club
0.444,same-name-different-city,Quebec,Basketball St-Laurent (Comité de basketball Saint-Laurent),Montréal (Saint-Laurent),census-2026-07,St-Lazare Lions,Saint-Lazare,census-2026-07,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/sud-ouest.html,distinct,auto-rule,both are census municipalities (Montréal (Saint-Laurent) / Saint-Lazare); kept separate - override if they are one club
0.436,same-name-different-city,Quebec,Académie Basketball — Cégep de Sherbrooke (Centre de l'activité physique),Sherbrooke,census-2026-07,Sacred Heart School of Montreal,Montreal QC,contact-enrichment,,,,
0.435,same-name-different-city,Quebec,Sagesse Canada,Saint-Eustache,census-2026-07,SLAM CAMP,Saint-Lambert / Saint-Bruno-de-Montarville,census-2026-07,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/rive-sud.html,,,
0.431,same-name-different-city,Manitoba,Junior Royals Basketball Club (Selkirk),Selkirk,census-2026-07,Junior Bisons Thompson,Thompson,census-2026-07,https://www.instagram.com/juniorbisons/,distinct,auto-rule,both are census municipalities (Selkirk / Thompson); kept separate - override if they are one club
0.429,same-name-different-city,Ontario,Rise Basketball (Rise Fitness and Sports Training),Vernon,census-2026-07,RiseUp League,Brampton/Vaughan/Markham/Mississauga/Niagara,census-2026-07,ontario census + enrichment 2026-07-18,,,
0.423,same-name-different-city,British Columbia,West Coast Swish Basketball,Abbotsford,census-2026-07,West Richmond Summer Slam,Richmond,census-2026-07,https://www.westrichmondsummerslam.com/,distinct,auto-rule,both are census municipalities (Abbotsford / Richmond); kept separate - override if they are one club
0.421,same-name-different-city,Quebec,Elite Basketball Skills Academy (EBSA),Châteauguay,census-2026-07,Basketball Élite Southwood,Lévis / Saint-Gilles,census-2026-07,https://www.basketballsouthwood.com/,,,
0.414,same-name-different-city,Ontario,St. Benedicts,Kitchener,census-2026-07,St. Francis Xavier,Mississauga,census-2026-07,ontario census + enrichment 2026-07-18,distinct,auto-rule,both are census municipalities (Kitchener / Mississauga); kept separate - override if they are one club
0.41,same-name-different-city,Ontario,Naismith Basketball Association,Eastern Ontario (Ottawa area),"community-sweep,oba-kml",Naismith,"likely a club named for James Naismith, possibly Almonte/Lanark area",league-harvest,https://eobahoops.com/about,,,
0.409,same-name-different-city,Quebec,Basketball Élite Southwood,Lévis / Saint-Gilles,census-2026-07,Elite Legacy Hoops,Saint-Jérôme,census-2026-07,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,,,
0.408,same-name-different-city,British Columbia,NV Ballers Basketball Club (N.W. Sports Club Society),North Vancouver,census-2026-07,N.W. Sports Club Society (Ballers Basketball),Port Coquitlam,census-2026-07,https://nwsportsclub.ca/leagues,distinct,auto-rule,both are census municipalities (North Vancouver / Port Coquitlam); kept separate - override if they are one club
0.4,same-name-different-city,Alberta,Edmonton Southside Hoops,Edmonton,census-2026-07,Encounter Sports (ES Lions),Sherwood Park,census-2026-07,https://encountersports.ca/,,,
0.4,same-name-different-city,Quebec,AC Academy (Athlete Centre),Mont-Royal,census-2026-07,Alpha Community,Montréal,census-2026-07,https://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/montreal.html,distinct,auto-rule,both are census municipalities (Mont-Royal / Montréal); kept separate - override if they are one club
0.4,same-name-different-city,Ontario,IEM Basketball,Newmarket/Aurora,"census-2026-07,community-sweep,oba-kml,ontario-csv",Innisfil Ballers,Innisfil,gap-fill,https://www.facebook.com/people/Innisfil-Ballers/61564439662126/,,,
0.393,same-name-different-city,British Columbia,Balloholics Victory Sports Camp,Burnaby,census-2026-07,Ball Lab Training Academy,North Vancouver,census-2026-07,https://basketball604.com/basketball-clubs/,distinct,auto-rule,both are census municipalities (Burnaby / North Vancouver); kept separate - override if they are one club
0.389,same-name-different-city,Alberta,Legends Basketball (YYC),Calgary,census-2026-07,Lethbridge Blazers,Lethbridge,census-2026-07,https://abbasketball.ca/content/who-are-members,distinct,auto-rule,both are census municipalities (Calgary / Lethbridge); kept separate - override if they are one club
0.387,same-name-different-city,Ontario,Haldimand Huskies,Caledonia,"gap-fill,oba-kml",Hometown Hoops,Leamington,gap-fill,https://www.facebook.com/HometownHoopsBasketball/,,,
0.378,same-name-different-city,Alberta,Calgary Selects Basketball,Calgary,census-2026-07,CADA Sports (CADA Red Storm),Edmonton,census-2026-07,https://www.cadasports.com/,distinct,auto-rule,both are census municipalities (Calgary / Edmonton); kept separate - override if they are one club
0.375,same-name-different-city,New Brunswick,Carleton North Minor Basketball Association,Florenceville-Bristol,census-2026-07,Carleton County Elite,Woodstock,census-2026-07,https://www.basketball.nb.ca/content/find-a-club-association,,,
0.367,same-name-different-city,Ontario,Metropolitan Prep Academy,Toronto,"census-2026-07,ontario-csv",Municipality of Powassan,Powassan,browser-sweep,https://jr-nba.webflow.io/programs/municipality-of-powassan,,,
0.364,same-name-different-city,Quebec,Sports-Laval,Laval,census-2026-07,Basketball St-Laurent (Comité de basketball Saint-Laurent),Montréal (Saint-Laurent),census-2026-07,https://basketballstlaurent.com/,distinct,auto-rule,both are census municipalities (Laval / Montréal (Saint-Laurent)); kept separate - override if they are one club
0.364,same-name-different-city,Quebec,Mini Indigo / Relève Indigo (Cégep de Granby),Granby,census-2026-07,Mini Basket Warwick,Warwick,census-2026-07,http://www.basketball.qc.ca/fr/page/reseau_basketball_quebec/centre-du-quebec.html,,,
