candidate,province,leagues,team_entries,last_verified,source,closest_known_club,closest_score,evidence_url,decision,reviewer,notes
Brantford CYO - DiLivio,Ontario,OBL,1,,obl-teams,Brantford CYO Boys,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Tecumseh Saint Clair Beach Basketball,Ontario,OBL,1,,obl-teams,Tecumseh Saints Basketball Association,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kw Vipers Randell,Ontario,OBL,1,,obl-teams,KW Vipers,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Salvi,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.56,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U12A New Horizon Heat,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
UPlay,Ontario,OBL,1,,obl-teams,UPlay Canada,0.588,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Falcons United,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Levely,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Warren,Ontario,OBL,1,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
RISING SUNS JAY,Ontario,OBL,1,,obl-teams,Rising Stars,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto NuStep Ballers,Ontario,OBL,1,,obl-teams,Toronto NuStep Ballers / NuStep Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Motion Kings Gladman,Ontario,OBL,1,,obl-teams,Motion Basketball,0.486,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kw Vipers Howison,Ontario,OBL,1,,obl-teams,KW Vipers,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U12B New Horizon Heat,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Gaige,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U12B Cade,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.474,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA /Brian,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Mike,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Hamilton Celtics U12B,Ontario,OBL,1,,obl-teams,Hamilton Celtics,0.865,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
FO3 U12 Boys,Ontario,OBL,1,,obl-teams,FO3,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DK U12 Boys,Ontario,OBL,1,,obl-teams,DK Dragons,0.476,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Etobicoke Thunder 1 Seeley,Ontario,OBL,1,,obl-teams,Etobicoke Basketball Association,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U12B Martin,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.45,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Breakthrough Bandits,Ontario,OBL,1,,obl-teams,Breakthrough,0.75,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
RISING SUNS UNDFTD,Ontario,OBL,1,,obl-teams,Rising Stars,0.6,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Gold Medal- Morrison,Ontario,OBL,1,,obl-teams,Gold Medal Basketball Club,0.533,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - BARANOV,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U12B Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Ryan/,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.545,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Wright DB,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.483,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U12 Boys - Burnie,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.412,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
JOOOKOOO - Ontario Elite,Ontario,OBL,1,,obl-teams,JKT Elite,0.581,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Keating,Ontario,OBL,1,,obl-teams,Peterborough Youth Basketball Association,0.627,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Chris,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.56,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - FROST,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.281,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Orillia Lakers- McParland (late reg),Ontario,OBL,1,,obl-teams,Orillia Lakers,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Jenn,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U12G Garvin,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA- Best,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.545,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U12 Girls,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.414,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - LEONARD,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.303,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London 86ers Santandrea,Ontario,OBL,1,,obl-teams,London 86ers,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - Coach Jamie -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Ellis,Ontario,OBL,1,,obl-teams,Peterborough City Basketball Club,0.561,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact- Dzierniejko,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U12G Watson,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U12G Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Guelph Gryphons- Hermann,Ontario,OBL,1,,obl-teams,Guelph Gryphons Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Hamilton Celtics U12G,Ontario,OBL,1,,obl-teams,Hamilton Celtics,0.865,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Premier Team Hanif Blue,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Cooksville N.O.F,Ontario,OBL,1,,obl-teams,Cooksville We>Me 2030,0.703,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Norm,Ontario,OBL,1,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
FO3 U13 Boys,Ontario,OBL,1,,obl-teams,FO3,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
UPlay- Coach Kash,Ontario,OBL,1,,obl-teams,UPlay Canada,0.643,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Chris,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Ivan,Ontario,OBL,1,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U13B,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.872,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Sigmund,Ontario,OBL,1,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Quach,Ontario,OBL,1,,obl-teams,Barrie Royals,0.857,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Moore,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Premier Team Maragh White,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U13 Boys - Mitchell,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.444,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BREAKDOWN,Ontario,OBL,1,,obl-teams,Breakthrough,0.571,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U13B Chen,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.421,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact Hunter,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - MCKAY,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Gillingham & Gagné,Ontario,OBL,1,,obl-teams,Guelph Gryphons Basketball,0.387,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Wade,Ontario,OBL,1,,obl-teams,Peterborough City Basketball Club,0.536,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - KRKLINSKI,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.276,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DK U13 Boys,Ontario,OBL,1,,obl-teams,DK Dragons,0.476,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
IEM Richmond Hill,Ontario,OBL,1,,obl-teams,IEM Bradford,0.483,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U13B Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Wayne,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Gold Medal Murray,Ontario,OBL,1,,obl-teams,Gold Medal Basketball Club,0.558,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Rep Moyo,Ontario,OBL,1,,obl-teams,Toronto Lords Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Saran,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite AY,Ontario,OBL,1,,obl-teams,Burloak Elite,0.897,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Patterson DB,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.5,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Game6 Sports,Ontario,OBL,1,,obl-teams,Game 6 Sports Academy,0.727,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Arthur,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.462,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Ziorli,Ontario,OBL,1,,obl-teams,York South Silver Knights,0.333,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Hess,Ontario,OBL,1,,obl-teams,Peterborough Youth Basketball Association,0.562,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U13 Boys- Gamal,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.485,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals McCracken,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Pathammavong,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Niagara Falls Red Raiders- Hunt,Ontario,OBL,1,,obl-teams,Niagara Falls Red Raiders,0.909,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - Coach Glen -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GLADIATORS ONIKA,Ontario,OBL,1,,obl-teams,Gladiators Basketball (G-Squad),0.703,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GTA Mavericks- Evan,Ontario,OBL,1,,obl-teams,GTA Mavericks,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Ma,Ontario,OBL,1,,obl-teams,York South Silver Knights,0.233,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
VCB U13- Peter,Ontario,OBL,1,,obl-teams,Vaughan City Basketball,0.278,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
ONL U13 Girls - Fleming,Ontario,OBL,1,,obl-teams,ONL,0.462,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U13G Perlmutter,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.364,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brantford CYO -Woodburn,Ontario,OBL,1,,obl-teams,Brantford CYO Boys,0.75,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
OSS Rising Stars - Cooper/Cressman,Ontario,OBL,1,,obl-teams,Ottawa Shooting Stars,0.595,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brampton Warriors U13G- Archer,Ontario,OBL,1,,obl-teams,Brampton Minor Basketball (BMBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Ranger,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.462,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact Caverly,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Zyla,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Riche,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.56,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U13G Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U13G Lambie,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.4,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U13 Girls,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.414,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Prince Edward Clippers,Ontario,OBL,1,,obl-teams,Prince Edward County Clippers,0.863,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
North York Lions Ergas,Ontario,OBL,1,,obl-teams,North York Lions,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Guelph Gryphons- Swan,Ontario,OBL,1,,obl-teams,Guelph Gryphons Basketball,0.857,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
London 86ers Findlay,Ontario,OBL,1,,obl-teams,London 86ers,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Rep,Ontario,OBL,1,,obl-teams,Toronto Lords Basketball,0.867,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Fitzgerald,Ontario,OBL,1,,obl-teams,Peterborough City Basketball Club,0.581,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TCBL Phoenix,Ontario,OBL,1,,obl-teams,TCBL Basketball,0.444,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Brantford CYO -Seewald,Ontario,OBL,1,,obl-teams,Brantford CYO Boys,0.769,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Premier Team Miller,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U14 Boys - Clarke,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.471,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
The Collective Elite Team Blue,Ontario,OBL,1,,obl-teams,The Collective Elite Basketball Association,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
RISING SUNS PHENOM,Ontario,OBL,1,,obl-teams,Rising Stars,0.6,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Mannarelli,Ontario,OBL,1,,obl-teams,KW Vipers,0.571,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SOLDIERS,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Messecar,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Team Breakdown IAN,Ontario,OBL,1,,obl-teams,Team Breakdown Basketball,0.875,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact McMillan,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Union Elite Nate,Ontario,OBL,1,,obl-teams,Union Elite Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Blessed Sacrament Yellow Jackets- Guibao,Ontario,OBL,1,,obl-teams,Blessed Sacrament Yellow Jackets,0.901,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Storm Team White,Ontario,OBL,1,,obl-teams,Dream Chaserzzz,0.471,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BTSO Elite,Ontario,OBL,1,,obl-teams,B-Elite,0.824,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team McKenna,Ontario,OBL,1,,obl-teams,Scarborough Basketball Association (SBA),0.519,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
The Collective Elite Team White,Ontario,OBL,1,,obl-teams,The Collective Elite Basketball Association,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
ONL U14 Boys - Kanji,Ontario,OBL,1,,obl-teams,ONL,0.581,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Ancaster Magic Hall,Ontario,OBL,1,,obl-teams,Ancaster Magic Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Advantage Titans OBA,Ontario,OBL,1,,obl-teams,Advantage Titans,0.889,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
ONL U14 Boys - Kilfoyl,Ontario,OBL,1,,obl-teams,ONL-X Basketball,0.556,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - - Coach Derrick -26,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Toronto Lords Kenyon,Ontario,OBL,1,,obl-teams,Toronto Lords Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Langer,Ontario,OBL,1,,obl-teams,KW Vipers,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Ken,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.75,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA Dexter,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.632,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Motion Kings,Ontario,OBL,1,,obl-teams,Motion Basketball,0.552,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Burloak Elite Rishi,Ontario,OBL,1,,obl-teams,Burloak Elite,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Young Dragons,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
EY Eagles - McLeod,Ontario,OBL,1,,obl-teams,East York Basketball,0.293,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U14B Blue,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.474,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
KW Viper Thomas,Ontario,OBL,1,,obl-teams,KW Vipers,0.75,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Sudbury Storm - - Coach Alex,Ontario,OBL,1,,obl-teams,Sudbury Youth Basketball Association (Jam),0.449,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TEAM BREAKDOWN IMPOWERFUL,Ontario,OBL,1,,obl-teams,Team Breakdown Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
BREAKDOWN GREEN,Ontario,OBL,1,,obl-teams,Breakthrough,0.519,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Midland Waves White,Ontario,OBL,1,,obl-teams,Midland Waves Basketball Association,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Guelph Gryphons-Sambol,Ontario,OBL,1,,obl-teams,Guelph Gryphons Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Grassroots Kitchener BLACK,Ontario,OBL,1,,obl-teams,Grassroots Elite,0.667,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DC Storm Team Black,Ontario,OBL,1,,obl-teams,DC United - HGSL,0.424,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Barrie Royals Oster,Ontario,OBL,1,,obl-teams,Barrie Royals,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
North York Lions Malik Phillips,Ontario,OBL,1,,obl-teams,North York Lions,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U14B Trailblazers,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
MUMBA ELITE - NOORI,Ontario,OBL,1,,obl-teams,Markham Unionville Minor Basketball Association (MUMBA),0.281,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GBA David,Ontario,OBL,1,,obl-teams,Grimsby Basketball Association,0.556,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
DK U14 Boys,Ontario,OBL,1,,obl-teams,DK Dragons,0.476,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
SBA Team Scott,Ontario,OBL,1,,obl-teams,SBA Blues,0.522,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Oakville Venom Blue Team,Ontario,OBL,1,,obl-teams,Oakville Vytis Basketball Association,0.579,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Elevation Athletics Arne,Ontario,OBL,1,,obl-teams,Elevation Athletics,0.884,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TTT U14 Boys - Jakovic,Ontario,OBL,1,,obl-teams,Toronto Top Tier,0.457,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
TEAM BREAKDOWN IMPOWERFUL TEAM 2,Ontario,OBL,1,,obl-teams,Team Breakdown Basketball,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Blessed Sacrament Yellow Jackets- Demerjian,Ontario,OBL,1,,obl-teams,Blessed Sacrament Yellow Jackets,0.865,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Kingston Impact Fisher Dowker,Ontario,OBL,1,,obl-teams,Kingston Impact,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Midland Waves Blue,Ontario,OBL,1,,obl-teams,Midland Waves Basketball Association,0.85,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Oshawa Commander,Ontario,OBL,1,,obl-teams,Ottawa Capitals,0.452,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YNBA Avengers U14B Martin,Ontario,OBL,1,,obl-teams,YNBA Basketball,0.45,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
GLADIATORS IVOR,Ontario,OBL,1,,obl-teams,Gladiators Basketball (G-Squad),0.611,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
U14B GBA Grizzlies,Ontario,OBL,1,,obl-teams,,,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
YSSK Thomas,Ontario,OBL,1,,obl-teams,YMCA of Timmins,0.385,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
Peterborough Power Summers,Ontario,OBL,1,,obl-teams,Peterborough City Basketball Club,0.542,https://basketball.on.ca/competitions/obl/ontario-basketball-league-schedule-2/,,,
