municipality,province,population,clubs_found,priority
Saint-Félicien,Quebec,10089,0,medium
South Huron,Ontario,10063,0,medium
Cavan Monaghan,Ontario,10016,0,medium
Alfred and Plantagenet,Ontario,9949,0,medium
Roberval,Quebec,9840,0,medium
Hinton,Alberta,9817,0,medium
Leeds and the Thousand Islands,Ontario,9804,0,medium
Brockton,Ontario,9784,0,medium
East St. Paul,Manitoba,9725,0,medium
Stoneham-et-Tewkesbury,Quebec,9682,0,medium
Temiskaming Shores,Ontario,9634,0,medium
Saint-Zotique,Quebec,9618,0,medium
Elizabethtown-Kitley,Ontario,9545,0,medium
Huron East,Ontario,9512,0,medium
Lorraine,Quebec,9502,0,medium
Contrecoeur,Quebec,9480,0,medium
Notre-Dame-des-Prairies,Quebec,9471,0,medium
Laurentian Valley,Ontario,9450,0,medium
The Blue Mountains,Ontario,9390,0,medium
Malahide,Ontario,9308,0,medium
Qualicum Beach,British Columbia,9303,0,medium
Comox Valley C (Puntledge - Black Creek),British Columbia,9158,0,medium
South Bruce Peninsula,Ontario,9137,0,medium
Tsinstikeptum 9,British Columbia,9134,0,medium
Minto,Ontario,9094,0,medium
Oromocto,New Brunswick,9045,0,medium
West Perth,Ontario,9038,0,medium
Beckwith,Ontario,9021,0,medium
Cowichan Valley B,British Columbia,8994,0,medium
Shelburne,Ontario,8994,0,medium
Ladysmith,British Columbia,8990,0,medium
Stanley,Manitoba,8981,0,medium
Saint-Rémi,Quebec,8957,0,medium
Columbia-Shuswap C,British Columbia,8919,0,medium
Corman Park No. 344,Saskatchewan,8909,0,medium
Coaticook,Quebec,8867,0,medium
Wheatland County,Alberta,8738,0,medium
Southgate,Ontario,8716,0,medium
Champlain,Ontario,8665,0,medium
La Pêche,Quebec,8636,0,medium
Zorra,Ontario,8628,0,medium
Nicolet,Quebec,8620,0,medium
Greenview No. 16,Alberta,8584,0,medium
Otterburn Park,Quebec,8479,0,medium
Sainte-Catherine-de-la-Jacques-Cartier,Quebec,8442,0,medium
Rockwood,Manitoba,8440,0,medium
Portugal Cove-St. Philip's,Newfoundland and Labrador,8415,0,medium
"Pictou, Subd. C",Nova Scotia,8386,0,medium
"Kings, Subd. C",Nova Scotia,8348,0,medium
Plympton-Wyoming,Ontario,8308,0,medium
Banff,Alberta,8305,0,medium
Kitimat,British Columbia,8236,0,medium
La Malbaie,Quebec,8235,0,medium
Boischatel,Quebec,8231,0,medium
Renfrew,Ontario,8190,0,medium
Drummond/North Elmsley,Ontario,8183,0,medium
Macdonald,Manitoba,8120,0,medium
Kimberley,British Columbia,8115,0,medium
Kapuskasing,Ontario,8057,0,medium
Happy Valley-Goose Bay,Newfoundland and Labrador,8040,0,medium
Chelsea,Quebec,8000,0,medium
Vermilion River County,Alberta,7994,0,medium
Innisfail,Alberta,7985,0,medium
Saint-Apollinaire,Quebec,7968,0,medium
Hanover,Ontario,7967,0,medium
Puslinch,Ontario,7944,0,medium
Comox Valley A,British Columbia,7926,0,medium
Trail,British Columbia,7920,0,medium
Drumheller,Alberta,7909,0,medium
Goderich,Ontario,7881,0,medium
Argyle,Nova Scotia,7870,0,medium
Rigaud,Quebec,7854,0,medium
East Zorra-Tavistock,Ontario,7841,0,medium
Stone Mills,Ontario,7826,0,medium
Central Huron,Ontario,7799,0,medium
Kirkland Lake,Ontario,7750,0,medium
Huron-Kinloss,Ontario,7723,0,medium
Aylmer,Ontario,7699,0,medium
Clare,Nova Scotia,7678,0,medium
Lac la Biche County,Alberta,7673,0,medium
Muskoka Lakes,Ontario,7652,0,medium
Douro-Dummer,Ontario,7632,0,medium
Acton Vale,Quebec,7605,0,medium
McNab/Braeside,Ontario,7591,0,medium
South-West Oxford,Ontario,7583,0,medium
Blandford-Blenheim,Ontario,7565,0,medium
Bluewater,Ontario,7540,0,medium
Shediac,New Brunswick,7535,0,medium
Cypress County,Alberta,7524,0,medium
Lincoln,New Brunswick,7519,0,medium
Edwardsburgh/Cardinal,Ontario,7505,0,medium
Chandler,Quebec,7490,0,medium
"Kenora, Unorganized",Ontario,7475,0,medium
Alnwick/Haldimand,Ontario,7473,0,medium
Coteau-du-Lac,Quebec,7473,0,medium
Ritchot,Manitoba,7469,0,medium
