club,league,entry_detail
PDM Basketball,NPH-SL,Gr8
PDM Basketball,NPH-SL,Gr10 (ARETE)
PDM Basketball,NPH-SL,Gr11
PDM Basketball,NPH-D1,D1 SrG
Burloak Elite,NPH-SL,"Gr9 (PRIME, ARETE)"
Burloak Elite,NPH-SL,"Gr9 (PRIME, ARETE)"
Burloak Elite,NPH-SL,"Gr10 (DMV, PRIME)"
Burloak Elite,NPH-SL,"Gr10 (DMV, PRIME)"
CE23 Academy,NPH-SL,Gr9 (ARETE)
CE23 Academy,NPH-SL,Gr10 (DMV)
CE23 Academy,NPH-SL,Gr12 (ARETE)
CE23 Academy,NPH-SL,JrGirls
MBA,NPH-SL,Gr7
MBA,NPH-SL,Gr10 (PRIME)
MBA,NPH-D1,D1 SrG
MBA,NPH-D1,D1 Academy
NDL,NPH-D1,D1 JrG
NDL,NPH-SL,SrG
NDL,NPH-SL,JrB
NDL,NPH-SL,Scholastic
North York Lions,NPH-SL,Gr9 (ARETE)
North York Lions,NPH-SL,Gr10 (GS)
North York Lions,NPH-SL,Gr12 (DMV)
North York Lions,NPH-SL,JrGirls
RWI,NPH-SL,Gr7
RWI,NPH-SL,Gr10 (ARETE)
RWI,NPH-SL,"Gr11 (RWI Kings, RWI 519)"
RWI,NPH-SL,"Gr11 (RWI Kings, RWI 519)"
Underdog Elite,NPH-SL,Gr9 (GS)
Underdog Elite,NPH-SL,Gr10 (ARETE)
Underdog Elite,NPH-SL,Gr11 (ARETE)
Underdog Elite,NPH-SL,Gr12 (ARETE)
Wiggins Elite,NPH-SL,Gr9 (ARETE)
Wiggins Elite,NPH-SL,Gr10 (GS)
Wiggins Elite,NPH-SL,Gr11 (DMV)
Wiggins Elite,NPH-SL,Gr12 (ARETE)
CKATT Basketball,NPH-SL,Gr7
CKATT Basketball,NPH-SL,Gr8
CKATT Basketball,NPH-SL,Gr11 (ARETE)
City Above Elite,NPH-SL,Gr7
City Above Elite,NPH-SL,Gr10 (ARETE)
City Above Elite,NPH-SL,Gr12 (ARETE)
Dropoff Elite,NPH-SL,Gr8
Dropoff Elite,NPH-SL,Gr11 (DMV)
Dropoff Elite,NPH-D1,D1 JrG
Edge School (Calgary),NPH-D1,D1 Academy (Edge Varsity Black)
Edge School (Calgary),NPA,NPA
Edge School (Calgary),WNPA,WNPA
M and R Basketball,NPH-SL,Gr7
M and R Basketball,NPH-SL,Gr9 (ARETE)
M and R Basketball,NPH-SL,Gr12 (DMV)
MC Elite,NPH-SL,Gr10 (GS)
MC Elite,NPH-SL,"Gr12 (GS, ARETE-White)"
MC Elite,NPH-SL,"Gr12 (GS, ARETE-White)"
Polaris Prep,NPH-D1,"D1 Academy (Black, International)"
Polaris Prep,NPH-D1,"D1 Academy (Black, International)"
Polaris Prep,NPA,NPA
SC Academy,NPH-SL,Gr10 (GS)
SC Academy,NPH-SL,"Gr12 (ARETE, ""SC Academy Prep"")"
SC Academy,NPH-D1,D1 Academy
Simcoe United Spartans,NPH-SL,Gr9 (GS)
Simcoe United Spartans,NPH-SL,Gr10 (ARETE)
Simcoe United Spartans,NPH-SL,Gr11
TNP,NPH-SL,"Gr9 (TNP East, PRIME)"
TNP,NPH-SL,Gr11 (DMV)
TNP,NPH-D1,D1 JrB
Tall Pines Academy,NPH-D1,D1 JrB
Tall Pines Academy,NPH-SL,Scholastic (Varsity)
Tall Pines Academy,NPH-SL,Academy (National)
Toronto Lords,NPH-SL,Gr7
Toronto Lords,NPH-SL,Gr11 (ARETE)
Toronto Lords,NPH-D1,D1 JrG
Tri-City (Prep/Academy),NPH-D1,D1 JrB
Tri-City (Prep/Academy),NPH-D1,D1 Academy
Tri-City (Prep/Academy),NPA,NPA
Vanguard North Prep,NPH-SL,Gr10 (ARETE)
Vanguard North Prep,NPH-SL,Gr11 (ARETE)
Vanguard North Prep,NPH-SL,Gr12 (ARETE)
Westfield Secondary,NPH-SL,Gr12 (DMV)
Westfield Secondary,NPH-D1,D1 JrB
Westfield Secondary,NPH-D1,D1 Scholastic
BCP,NPH-D1,D1 Academy (BCP Provincial)
BCP,NPA,NPA
Brotherhood Elite,NPH-SL,Gr10 (ARETE)
Brotherhood Elite,NPH-SL,Gr11
Dynastie,NPH-D1,D1 JrB
Dynastie,NPH-D1,D1 Academy
EM Elite,NPH-SL,Gr10 (GS)
