club,league,entry_detail
Burloak,Coalition (Summer 2025),(entry 3)
Burloak,Coalition (Summer 2025),(entry 4)
Burloak,Coalition (Summer 2025),(entry 5)
Burloak,Coalition (Summer 2025),(entry 6)
Burloak,Coalition (Summer 2025),(entry 7)
Burloak,Coalition (Summer 2025),(entry 8)
Burloak,Coalition (Summer 2025),(entry 9)
Burloak,Coalition (Summer 2025),(entry 10)
iDream by BOA,Coalition (Summer 2025),(entry 1)
iDream by BOA,Coalition (Summer 2025),(entry 2)
iDream by BOA,Coalition (Summer 2025),(entry 3)
iDream by BOA,Coalition (Summer 2025),(entry 4)
iDream by BOA,Coalition (Summer 2025),(entry 5)
iDream by BOA,Coalition (Summer 2025),(entry 6)
iDream by BOA,Coalition (Summer 2025),(entry 7)
iDream by BOA,Coalition (Summer 2025),(entry 8)
iDream by BOA,Coalition (Summer 2025),(entry 9)
Born 2 Stand Out,Coalition (Summer 2025),(entry 1)
Born 2 Stand Out,Coalition (Summer 2025),(entry 2)
Born 2 Stand Out,Coalition (Summer 2025),(entry 3)
Born 2 Stand Out,Coalition (Summer 2025),(entry 4)
Born 2 Stand Out,Coalition (Summer 2025),(entry 5)
Born 2 Stand Out,Coalition (Summer 2025),(entry 6)
Born 2 Stand Out,Coalition (Summer 2025),(entry 7)
Born 2 Stand Out,Coalition (Summer 2025),(entry 8)
Born 2 Stand Out,Coalition (Summer 2025),(entry 9)
Durham Blues,Coalition (Summer 2025),(entry 1)
Durham Blues,Coalition (Summer 2025),(entry 2)
Durham Blues,Coalition (Summer 2025),(entry 3)
Durham Blues,Coalition (Summer 2025),(entry 4)
Durham Blues,Coalition (Summer 2025),(entry 5)
Durham Blues,Coalition (Summer 2025),(entry 6)
Durham Blues,Coalition (Summer 2025),(entry 7)
Durham Blues,Coalition (Summer 2025),(entry 8)
City Above,Coalition (Summer 2025),(entry 1)
City Above,Coalition (Summer 2025),(entry 2)
City Above,Coalition (Summer 2025),(entry 3)
City Above,Coalition (Summer 2025),(entry 4)
City Above,Coalition (Summer 2025),(entry 5)
City Above,Coalition (Summer 2025),(entry 6)
City Above,Coalition (Summer 2025),(entry 7)
Toronto Lords,Coalition (Summer 2025),(entry 1)
Toronto Lords,Coalition (Summer 2025),(entry 2)
Toronto Lords,Coalition (Summer 2025),(entry 3)
Toronto Lords,Coalition (Summer 2025),(entry 4)
Toronto Lords,Coalition (Summer 2025),(entry 5)
Toronto Lords,Coalition (Summer 2025),(entry 6)
Toronto Lords,Coalition (Summer 2025),(entry 7)
Hoopzone Knights,Coalition (Summer 2025),(entry 1)
Hoopzone Knights,Coalition (Summer 2025),(entry 2)
Hoopzone Knights,Coalition (Summer 2025),(entry 3)
Hoopzone Knights,Coalition (Summer 2025),(entry 4)
Hoopzone Knights,Coalition (Summer 2025),(entry 5)
Hoopzone Knights,Coalition (Summer 2025),(entry 6)
Hoopzone Knights,Coalition (Summer 2025),(entry 7)
